"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jul 29 15:16:47 GMT 2021","Thu Jul 29 15:16:47 GMT 2021","10","","com.codecool.wikipediatest.WikipediaTest","","com.codecool.wikipediatest.WikipediaTest","testChangeFontSettings","testChangeFontSettings()",""
"broken","Thu Jul 29 15:16:47 GMT 2021","Thu Jul 29 15:16:47 GMT 2021","13","","com.codecool.wikipediatest.WikipediaTest","","com.codecool.wikipediatest.WikipediaTest","testFrameworkSearch","testFrameworkSearch()",""
"broken","Thu Jul 29 15:16:47 GMT 2021","Thu Jul 29 15:16:47 GMT 2021","2","","com.codecool.wikipediatest.WikipediaTest","","com.codecool.wikipediatest.WikipediaTest","testSeleniumGridParagraph","testSeleniumGridParagraph()",""
"broken","Thu Jul 29 15:16:47 GMT 2021","Thu Jul 29 15:16:47 GMT 2021","78","","com.codecool.wikipediatest.WikipediaTest","","com.codecool.wikipediatest.WikipediaTest","testWikipedia","testWikipedia()",""
"broken","Thu Jul 29 15:16:47 GMT 2021","Thu Jul 29 15:16:47 GMT 2021","7","","com.codecool.wikipediatest.WikipediaTest","","com.codecool.wikipediatest.WikipediaTest","testLoginWiki","testLoginWiki()",""
