"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jul 29 15:24:14 GMT 2021","Thu Jul 29 15:24:21 GMT 2021","7187","","com.codecool.wikipediatest.WikipediaTest","","com.codecool.wikipediatest.WikipediaTest","testWikipedia","testWikipedia()",""
"broken","Thu Jul 29 15:24:21 GMT 2021","Thu Jul 29 15:24:21 GMT 2021","160","","com.codecool.wikipediatest.WikipediaTest","","com.codecool.wikipediatest.WikipediaTest","testFrameworkSearch","testFrameworkSearch()",""
"broken","Thu Jul 29 15:24:21 GMT 2021","Thu Jul 29 15:24:21 GMT 2021","171","","com.codecool.wikipediatest.WikipediaTest","","com.codecool.wikipediatest.WikipediaTest","testChangeFontSettings","testChangeFontSettings()",""
"broken","Thu Jul 29 15:24:22 GMT 2021","Thu Jul 29 15:24:22 GMT 2021","143","","com.codecool.wikipediatest.WikipediaTest","","com.codecool.wikipediatest.WikipediaTest","testSeleniumGridParagraph","testSeleniumGridParagraph()",""
"broken","Thu Jul 29 15:24:21 GMT 2021","Thu Jul 29 15:24:22 GMT 2021","158","","com.codecool.wikipediatest.WikipediaTest","","com.codecool.wikipediatest.WikipediaTest","testLoginWiki","testLoginWiki()",""
