"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 29 16:22:17 GMT 2021","Thu Jul 29 16:22:21 GMT 2021","4860","","com.codecool.wikipediatest.WikipediaTest","","com.codecool.wikipediatest.WikipediaTest","testLoginWiki","testLoginWiki()",""
"broken","Thu Jul 29 16:22:10 GMT 2021","Thu Jul 29 16:22:17 GMT 2021","6310","","com.codecool.wikipediatest.WikipediaTest","","com.codecool.wikipediatest.WikipediaTest","testChangeFontSettings","testChangeFontSettings()",""
"broken","Thu Jul 29 16:22:21 GMT 2021","Thu Jul 29 16:22:28 GMT 2021","6934","","com.codecool.wikipediatest.WikipediaTest","","com.codecool.wikipediatest.WikipediaTest","testSeleniumGridParagraph","testSeleniumGridParagraph()",""
"passed","Thu Jul 29 16:22:04 GMT 2021","Thu Jul 29 16:22:10 GMT 2021","6301","","com.codecool.wikipediatest.WikipediaTest","","com.codecool.wikipediatest.WikipediaTest","testFrameworkSearch","testFrameworkSearch()",""
"passed","Thu Jul 29 16:21:49 GMT 2021","Thu Jul 29 16:22:04 GMT 2021","15397","","com.codecool.wikipediatest.WikipediaTest","","com.codecool.wikipediatest.WikipediaTest","testWikipedia","testWikipedia()",""
